task_id,family,variant,condition,task_text,reference_text,source_python,opaque_mapping,semantic_step_count,validation_flags
sum_positive,sign_sum,2,python_opaque,"Given a list of numbers, sum only the positive values.","def zav0(mip0):
    tuk0 = 0
    for qel0 in mip0:
        if qel0 > 0:
            tuk0 += qel0
    return tuk0","def sum_positive(current):
    item = 0
    for value in current:
        if value > 0:
            item += value
    return item","{""sum_positive"": ""zav0"", ""current"": ""mip0"", ""item"": ""tuk0"", ""value"": ""qel0""}",6,pending_human_review
sum_positive,sign_sum,3,nl_exp7_anchor,"Given a list of numbers, sum only the positive values.","Initialize the total at zero. Process every number. For any case in which a number is greater than zero, add it to the total. Produce the total after the list has been processed.","def sum_positive(x):
    element = 0
    for entry in x:
        if entry > 0:
            element += entry
    return element",null,0,pending_human_review
sum_positive,sign_sum,3,procedural_prose,"Given a list of numbers, sum only the positive values.","Define a procedure named sum_positive that receives x.
Set element to 0.
For each entry in x, do the following.
    If entry is greater than 0, do the following.
        Increase element by entry.
Return element.","def sum_positive(x):
    element = 0
    for entry in x:
        if entry > 0:
            element += entry
    return element",null,6,pending_human_review
sum_positive,sign_sum,3,controlled_nl,"Given a list of numbers, sum only the positive values.","PROCEDURE sum_positive INPUT x:
SET element TO 0.
FOR EACH entry IN x:
    IF entry > 0:
        UPDATE element USING + entry.
RETURN element","def sum_positive(x):
    element = 0
    for entry in x:
        if entry > 0:
            element += entry
    return element",null,6,pending_human_review
sum_positive,sign_sum,3,pseudocode,"Given a list of numbers, sum only the positive values.","PROCEDURE sum_positive(x)
element <- 0
FOR entry IN x
    IF entry > 0
        element <- element + entry
RETURN element","def sum_positive(x):
    element = 0
    for entry in x:
        if entry > 0:
            element += entry
    return element",null,6,pending_human_review
sum_positive,sign_sum,3,python_canonical,"Given a list of numbers, sum only the positive values.","def sum_positive(x):
    element = 0
    for entry in x:
        if entry > 0:
            element += entry
    return element","def sum_positive(x):
    element = 0
    for entry in x:
        if entry > 0:
            element += entry
    return element",null,6,pending_human_review
sum_positive,sign_sum,3,python_opaque,"Given a list of numbers, sum only the positive values.","def zav0(mip0):
    tuk0 = 0
    for qel0 in mip0:
        if qel0 > 0:
            tuk0 += qel0
    return tuk0","def sum_positive(x):
    element = 0
    for entry in x:
        if entry > 0:
            element += entry
    return element","{""sum_positive"": ""zav0"", ""x"": ""mip0"", ""element"": ""tuk0"", ""entry"": ""qel0""}",6,pending_human_review
contains_target,membership_test,1,nl_exp7_anchor,"Given a list of values and a target, determine whether the target occurs in the list.","Examine the values one by one. If the current value equals the target, return true immediately. If the scan finishes without a match, return false.","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False",null,0,pending_human_review
contains_target,membership_test,1,procedural_prose,"Given a list of values and a target, determine whether the target occurs in the list.","Define a procedure named contains_target that receives values and target.
For each value in values, do the following.
    If value equals target, do the following.
        Return true.
Return false.","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,1,controlled_nl,"Given a list of values and a target, determine whether the target occurs in the list.","PROCEDURE contains_target INPUT values, target:
FOR EACH value IN values:
    IF value = target:
        RETURN TRUE
RETURN FALSE","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,1,pseudocode,"Given a list of values and a target, determine whether the target occurs in the list.","PROCEDURE contains_target(values, target)
FOR value IN values
    IF value = target
        RETURN TRUE
RETURN FALSE","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,1,python_canonical,"Given a list of values and a target, determine whether the target occurs in the list.","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,1,python_opaque,"Given a list of values and a target, determine whether the target occurs in the list.","def zav0(mip0, tuk0):
    for qel0 in mip0:
        if qel0 == tuk0:
            return True
    return False","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False","{""contains_target"": ""zav0"", ""values"": ""mip0"", ""target"": ""tuk0"", ""value"": ""qel0""}",5,pending_human_review
contains_target,membership_test,2,nl_exp7_anchor,"Given a list of values and a target, determine whether the target occurs in the list.","Inspect the values one by one. When the current value equals the target, output true immediately. When the scan finishes without a match, output false.","def contains_target(current, item):
    for value in current:
        if value == item:
            return True
    return False",null,0,pending_human_review
contains_target,membership_test,2,procedural_prose,"Given a list of values and a target, determine whether the target occurs in the list.","Define a procedure named contains_target that receives current and item.
For each value in current, do the following.
    If value equals item, do the following.
        Return true.
Return false.","def contains_target(current, item):
    for value in current:
        if value == item:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,2,controlled_nl,"Given a list of values and a target, determine whether the target occurs in the list.","PROCEDURE contains_target INPUT current, item:
FOR EACH value IN current:
    IF value = item:
        RETURN TRUE
RETURN FALSE","def contains_target(current, item):
    for value in current:
        if value == item:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,2,pseudocode,"Given a list of values and a target, determine whether the target occurs in the list.","PROCEDURE contains_target(current, item)
FOR value IN current
    IF value = item
        RETURN TRUE
RETURN FALSE","def contains_target(current, item):
    for value in current:
        if value == item:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,2,python_canonical,"Given a list of values and a target, determine whether the target occurs in the list.","def contains_target(current, item):
    for value in current:
        if value == item:
            return True
    return False","def contains_target(current, item):
    for value in current:
        if value == item:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,2,python_opaque,"Given a list of values and a target, determine whether the target occurs in the list.","def zav0(mip0, tuk0):
    for qel0 in mip0:
        if qel0 == tuk0:
            return True
    return False","def contains_target(current, item):
    for value in current:
        if value == item:
            return True
    return False","{""contains_target"": ""zav0"", ""current"": ""mip0"", ""item"": ""tuk0"", ""value"": ""qel0""}",5,pending_human_review
contains_target,membership_test,3,nl_exp7_anchor,"Given a list of values and a target, determine whether the target occurs in the list.","Process the values one by one. If the current value equals the target, return true immediately. If the scan finishes without a match, return false.","def contains_target(x, element):
    for entry in x:
        if entry == element:
            return True
    return False",null,0,pending_human_review
contains_target,membership_test,3,procedural_prose,"Given a list of values and a target, determine whether the target occurs in the list.","Define a procedure named contains_target that receives x and element.
For each entry in x, do the following.
    If entry equals element, do the following.
        Return true.
Return false.","def contains_target(x, element):
    for entry in x:
        if entry == element:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,3,controlled_nl,"Given a list of values and a target, determine whether the target occurs in the list.","PROCEDURE contains_target INPUT x, element:
FOR EACH entry IN x:
    IF entry = element:
        RETURN TRUE
RETURN FALSE","def contains_target(x, element):
    for entry in x:
        if entry == element:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,3,pseudocode,"Given a list of values and a target, determine whether the target occurs in the list.","PROCEDURE contains_target(x, element)
FOR entry IN x
    IF entry = element
        RETURN TRUE
RETURN FALSE","def contains_target(x, element):
    for entry in x:
        if entry == element:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,3,python_canonical,"Given a list of values and a target, determine whether the target occurs in the list.","def contains_target(x, element):
    for entry in x:
        if entry == element:
            return True
    return False","def contains_target(x, element):
    for entry in x:
        if entry == element:
            return True
    return False",null,5,pending_human_review
contains_target,membership_test,3,python_opaque,"Given a list of values and a target, determine whether the target occurs in the list.","def zav0(mip0, tuk0):
    for qel0 in mip0:
        if qel0 == tuk0:
            return True
    return False","def contains_target(x, element):
    for entry in x:
        if entry == element:
            return True
    return False","{""contains_target"": ""zav0"", ""x"": ""mip0"", ""element"": ""tuk0"", ""entry"": ""qel0""}",5,pending_human_review
dedupe_last,deduplication,1,nl_exp7_anchor,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","Start with an empty temporary list. Examine the input from right to left. If the current value has not yet been kept, append it to the temporary list. Reverse that list and return it.","def dedupe_last(values):
    result = []
    for value in reversed(values):
        if value not in result:
            result.append(value)
    result.reverse()
    return result",null,0,pending_human_review
dedupe_last,deduplication,1,procedural_prose,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","Define a procedure named dedupe_last that receives values.
Set result to [].
For each value in reversed(values), do the following.
    If value is not in result, do the following.
        Append value to result.
Perform result.reverse().
Return result.","def dedupe_last(values):
    result = []
    for value in reversed(values):
        if value not in result:
            result.append(value)
    result.reverse()
    return result",null,7,pending_human_review
dedupe_last,deduplication,1,controlled_nl,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","PROCEDURE dedupe_last INPUT values:
SET result TO [].
FOR EACH value IN reversed(values):
    IF value NOT IN result:
        EXECUTE result.append(value).
EXECUTE result.reverse().
RETURN result","def dedupe_last(values):
    result = []
    for value in reversed(values):
        if value not in result:
            result.append(value)
    result.reverse()
    return result",null,7,pending_human_review
dedupe_last,deduplication,1,pseudocode,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","PROCEDURE dedupe_last(values)
result <- []
FOR value IN reversed(values)
    IF value NOT IN result
        result.append(value)
result.reverse()
RETURN result","def dedupe_last(values):
    result = []
    for value in reversed(values):
        if value not in result:
            result.append(value)
    result.reverse()
    return result",null,7,pending_human_review
dedupe_last,deduplication,1,python_canonical,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","def dedupe_last(values):
    result = []
    for value in reversed(values):
        if value not in result:
            result.append(value)
    result.reverse()
    return result","def dedupe_last(values):
    result = []
    for value in reversed(values):
        if value not in result:
            result.append(value)
    result.reverse()
    return result",null,7,pending_human_review
dedupe_last,deduplication,1,python_opaque,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","def zav0(mip0):
    tuk0 = []
    for qel0 in reversed(mip0):
        if qel0 not in tuk0:
            tuk0.append(qel0)
    tuk0.reverse()
    return tuk0","def dedupe_last(values):
    result = []
    for value in reversed(values):
        if value not in result:
            result.append(value)
    result.reverse()
    return result","{""dedupe_last"": ""zav0"", ""values"": ""mip0"", ""result"": ""tuk0"", ""value"": ""qel0""}",7,pending_human_review
dedupe_last,deduplication,2,nl_exp7_anchor,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","Begin with an empty temporary list. Inspect the input from right to left. When the current value has not yet been kept, add it to the temporary list. Reverse that list and output it.","def dedupe_last(current):
    item = []
    for value in reversed(current):
        if value not in item:
            item.append(value)
    item.reverse()
    return item",null,0,pending_human_review
dedupe_last,deduplication,2,procedural_prose,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","Define a procedure named dedupe_last that receives current.
Set item to [].
For each value in reversed(current), do the following.
    If value is not in item, do the following.
        Append value to item.
Perform item.reverse().
Return item.","def dedupe_last(current):
    item = []
    for value in reversed(current):
        if value not in item:
            item.append(value)
    item.reverse()
    return item",null,7,pending_human_review
dedupe_last,deduplication,2,controlled_nl,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","PROCEDURE dedupe_last INPUT current:
SET item TO [].
FOR EACH value IN reversed(current):
    IF value NOT IN item:
        EXECUTE item.append(value).
EXECUTE item.reverse().
RETURN item","def dedupe_last(current):
    item = []
    for value in reversed(current):
        if value not in item:
            item.append(value)
    item.reverse()
    return item",null,7,pending_human_review
dedupe_last,deduplication,2,pseudocode,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","PROCEDURE dedupe_last(current)
item <- []
FOR value IN reversed(current)
    IF value NOT IN item
        item.append(value)
item.reverse()
RETURN item","def dedupe_last(current):
    item = []
    for value in reversed(current):
        if value not in item:
            item.append(value)
    item.reverse()
    return item",null,7,pending_human_review
dedupe_last,deduplication,2,python_canonical,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","def dedupe_last(current):
    item = []
    for value in reversed(current):
        if value not in item:
            item.append(value)
    item.reverse()
    return item","def dedupe_last(current):
    item = []
    for value in reversed(current):
        if value not in item:
            item.append(value)
    item.reverse()
    return item",null,7,pending_human_review
dedupe_last,deduplication,2,python_opaque,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","def zav0(mip0):
    tuk0 = []
    for qel0 in reversed(mip0):
        if qel0 not in tuk0:
            tuk0.append(qel0)
    tuk0.reverse()
    return tuk0","def dedupe_last(current):
    item = []
    for value in reversed(current):
        if value not in item:
            item.append(value)
    item.reverse()
    return item","{""dedupe_last"": ""zav0"", ""current"": ""mip0"", ""item"": ""tuk0"", ""value"": ""qel0""}",7,pending_human_review
dedupe_last,deduplication,3,nl_exp7_anchor,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","Initialize with an empty temporary list. Process the input from right to left. If the current value has not yet been kept, append it to the temporary list. Reverse that list and return it.","def dedupe_last(x):
    element = []
    for entry in reversed(x):
        if entry not in element:
            element.append(entry)
    element.reverse()
    return element",null,0,pending_human_review
dedupe_last,deduplication,3,procedural_prose,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","Define a procedure named dedupe_last that receives x.
Set element to [].
For each entry in reversed(x), do the following.
    If entry is not in element, do the following.
        Append entry to element.
Perform element.reverse().
Return element.","def dedupe_last(x):
    element = []
    for entry in reversed(x):
        if entry not in element:
            element.append(entry)
    element.reverse()
    return element",null,7,pending_human_review
dedupe_last,deduplication,3,controlled_nl,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","PROCEDURE dedupe_last INPUT x:
SET element TO [].
FOR EACH entry IN reversed(x):
    IF entry NOT IN element:
        EXECUTE element.append(entry).
EXECUTE element.reverse().
RETURN element","def dedupe_last(x):
    element = []
    for entry in reversed(x):
        if entry not in element:
            element.append(entry)
    element.reverse()
    return element",null,7,pending_human_review
dedupe_last,deduplication,3,pseudocode,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","PROCEDURE dedupe_last(x)
element <- []
FOR entry IN reversed(x)
    IF entry NOT IN element
        element.append(entry)
element.reverse()
RETURN element","def dedupe_last(x):
    element = []
    for entry in reversed(x):
        if entry not in element:
            element.append(entry)
    element.reverse()
    return element",null,7,pending_human_review
dedupe_last,deduplication,3,python_canonical,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","def dedupe_last(x):
    element = []
    for entry in reversed(x):
        if entry not in element:
            element.append(entry)
    element.reverse()
    return element","def dedupe_last(x):
    element = []
    for entry in reversed(x):
        if entry not in element:
            element.append(entry)
    element.reverse()
    return element",null,7,pending_human_review
dedupe_last,deduplication,3,python_opaque,"Given a list, remove duplicate values while keeping the last occurrence of each value and preserving the order of those kept occurrences.","def zav0(mip0):
    tuk0 = []
    for qel0 in reversed(mip0):
        if qel0 not in tuk0:
            tuk0.append(qel0)
    tuk0.reverse()
    return tuk0","def dedupe_last(x):
    element = []
    for entry in reversed(x):
        if entry not in element:
            element.append(entry)
    element.reverse()
    return element","{""dedupe_last"": ""zav0"", ""x"": ""mip0"", ""element"": ""tuk0"", ""entry"": ""qel0""}",7,pending_human_review
square_values,element_transform,1,nl_exp7_anchor,"Given a list of numbers, create a list containing the square of each element.","Create an empty result list. Examine each input number, multiply it by itself, and append the product to the result. Return the result.","def square_values(values):
    result = []
    for value in values:
        result.append(value * value)
    return result",null,0,pending_human_review
square_values,element_transform,1,procedural_prose,"Given a list of numbers, create a list containing the square of each element.","Define a procedure named square_values that receives values.
Set result to [].
For each value in values, do the following.
    Append (value * value) to result.
Return result.","def square_values(values):
    result = []
    for value in values:
        result.append(value * value)
    return result",null,5,pending_human_review
square_values,element_transform,1,controlled_nl,"Given a list of numbers, create a list containing the square of each element.","PROCEDURE square_values INPUT values:
SET result TO [].
FOR EACH value IN values:
    EXECUTE result.append((value * value)).
RETURN result","def square_values(values):
    result = []
    for value in values:
        result.append(value * value)
    return result",null,5,pending_human_review
square_values,element_transform,1,pseudocode,"Given a list of numbers, create a list containing the square of each element.","PROCEDURE square_values(values)
result <- []
FOR value IN values
    result.append((value * value))
RETURN result","def square_values(values):
    result = []
    for value in values:
        result.append(value * value)
    return result",null,5,pending_human_review
square_values,element_transform,1,python_canonical,"Given a list of numbers, create a list containing the square of each element.","def square_values(values):
    result = []
    for value in values:
        result.append(value * value)
    return result","def square_values(values):
    result = []
    for value in values:
        result.append(value * value)
    return result",null,5,pending_human_review
square_values,element_transform,1,python_opaque,"Given a list of numbers, create a list containing the square of each element.","def zav0(mip0):
    tuk0 = []
    for qel0 in mip0:
        tuk0.append(qel0 * qel0)
    return tuk0","def square_values(values):
    result = []
    for value in values:
        result.append(value * value)
    return result","{""square_values"": ""zav0"", ""values"": ""mip0"", ""result"": ""tuk0"", ""value"": ""qel0""}",5,pending_human_review
square_values,element_transform,2,nl_exp7_anchor,"Given a list of numbers, create a list containing the square of each element.","Build an empty result list. Inspect each input number, multiply it by itself, and add the product to the result. Output the result.","def square_values(current):
    item = []
    for value in current:
        item.append(value * value)
    return item",null,0,pending_human_review
square_values,element_transform,2,procedural_prose,"Given a list of numbers, create a list containing the square of each element.","Define a procedure named square_values that receives current.
Set item to [].
For each value in current, do the following.
    Append (value * value) to item.
Return item.","def square_values(current):
    item = []
    for value in current:
        item.append(value * value)
    return item",null,5,pending_human_review
square_values,element_transform,2,controlled_nl,"Given a list of numbers, create a list containing the square of each element.","PROCEDURE square_values INPUT current:
SET item TO [].
FOR EACH value IN current:
    EXECUTE item.append((value * value)).
RETURN item","def square_values(current):
    item = []
    for value in current:
        item.append(value * value)
    return item",null,5,pending_human_review
square_values,element_transform,2,pseudocode,"Given a list of numbers, create a list containing the square of each element.","PROCEDURE square_values(current)
item <- []
FOR value IN current
    item.append((value * value))
RETURN item","def square_values(current):
    item = []
    for value in current:
        item.append(value * value)
    return item",null,5,pending_human_review
square_values,element_transform,2,python_canonical,"Given a list of numbers, create a list containing the square of each element.","def square_values(current):
    item = []
    for value in current:
        item.append(value * value)
    return item","def square_values(current):
    item = []
    for value in current:
        item.append(value * value)
    return item",null,5,pending_human_review
square_values,element_transform,2,python_opaque,"Given a list of numbers, create a list containing the square of each element.","def zav0(mip0):
    tuk0 = []
    for qel0 in mip0:
        tuk0.append(qel0 * qel0)
    return tuk0","def square_values(current):
    item = []
    for value in current:
        item.append(value * value)
    return item","{""square_values"": ""zav0"", ""current"": ""mip0"", ""item"": ""tuk0"", ""value"": ""qel0""}",5,pending_human_review
square_values,element_transform,3,nl_exp7_anchor,"Given a list of numbers, create a list containing the square of each element.","Initialize an empty result list. Process each input number, multiply it by itself, and append the product to the result. Produce the result.","def square_values(x):
    element = []
    for entry in x:
        element.append(entry * entry)
    return element",null,0,pending_human_review
square_values,element_transform,3,procedural_prose,"Given a list of numbers, create a list containing the square of each element.","Define a procedure named square_values that receives x.
Set element to [].
For each entry in x, do the following.
    Append (entry * entry) to element.
Return element.","def square_values(x):
    element = []
    for entry in x:
        element.append(entry * entry)
    return element",null,5,pending_human_review
square_values,element_transform,3,controlled_nl,"Given a list of numbers, create a list containing the square of each element.","PROCEDURE square_values INPUT x:
SET element TO [].
FOR EACH entry IN x:
    EXECUTE element.append((entry * entry)).
RETURN element","def square_values(x):
    element = []
    for entry in x:
        element.append(entry * entry)
    return element",null,5,pending_human_review
square_values,element_transform,3,pseudocode,"Given a list of numbers, create a list containing the square of each element.","PROCEDURE square_values(x)
element <- []
FOR entry IN x
    element.append((entry * entry))
RETURN element","def square_values(x):
    element = []
    for entry in x:
        element.append(entry * entry)
    return element",null,5,pending_human_review
square_values,element_transform,3,python_canonical,"Given a list of numbers, create a list containing the square of each element.","def square_values(x):
    element = []
    for entry in x:
        element.append(entry * entry)
    return element","def square_values(x):
    element = []
    for entry in x:
        element.append(entry * entry)
    return element",null,5,pending_human_review
square_values,element_transform,3,python_opaque,"Given a list of numbers, create a list containing the square of each element.","def zav0(mip0):
    tuk0 = []
    for qel0 in mip0:
        tuk0.append(qel0 * qel0)
    return tuk0","def square_values(x):
    element = []
    for entry in x:
        element.append(entry * entry)
    return element","{""square_values"": ""zav0"", ""x"": ""mip0"", ""element"": ""tuk0"", ""entry"": ""qel0""}",5,pending_human_review
list_palindrome,palindrome_test,1,nl_exp7_anchor,"Given a list, determine whether its values read the same forward and backward.",Set one index at the beginning and another at the end. Compare the two values and move both indices inward. Return false on a mismatch; return true if all mirrored pairs match.,"def list_palindrome(values):
    left = 0
    right = len(values) - 1
    while left < right:
        if values[left] != values[right]:
            return False
        left += 1
        right -= 1
    return True",null,0,pending_human_review
list_palindrome,palindrome_test,1,procedural_prose,"Given a list, determine whether its values read the same forward and backward.","Define a procedure named list_palindrome that receives values.
Set left to 0.
Set right to (len(values) - 1).
While left is less than right, do the following.
    If values[left] does not equal values[right], do the following.
        Return false.
    Increase left by 1.
    Decrease right by 1.
Return true.","def list_palindrome(values):
    left = 0
    right = len(values) - 1
    while left < right:
        if values[left] != values[right]:
            return False
        left += 1
        right -= 1
    return True",null,9,pending_human_review
list_palindrome,palindrome_test,1,controlled_nl,"Given a list, determine whether its values read the same forward and backward.","PROCEDURE list_palindrome INPUT values:
SET left TO 0.
SET right TO (len(values) - 1).
WHILE left < right:
    IF values[left] != values[right]:
        RETURN FALSE
    UPDATE left USING + 1.
    UPDATE right USING - 1.
RETURN TRUE","def list_palindrome(values):
    left = 0
    right = len(values) - 1
    while left < right:
        if values[left] != values[right]:
            return False
        left += 1
        right -= 1
    return True",null,9,pending_human_review
list_palindrome,palindrome_test,1,pseudocode,"Given a list, determine whether its values read the same forward and backward.","PROCEDURE list_palindrome(values)
left <- 0
right <- (len(values) - 1)
WHILE left < right
    IF values[left] != values[right]
        RETURN FALSE
    left <- left + 1
    right <- right - 1
RETURN TRUE","def list_palindrome(values):
    left = 0
    right = len(values) - 1
    while left < right:
        if values[left] != values[right]:
            return False
        left += 1
        right -= 1
    return True",null,9,pending_human_review
list_palindrome,palindrome_test,1,python_canonical,"Given a list, determine whether its values read the same forward and backward.","def list_palindrome(values):
    left = 0
    right = len(values) - 1
    while left < right:
        if values[left] != values[right]:
            return False
        left += 1
        right -= 1
    return True","def list_palindrome(values):
    left = 0
    right = len(values) - 1
    while left < right:
        if values[left] != values[right]:
            return False
        left += 1
        right -= 1
    return True",null,9,pending_human_review
list_palindrome,palindrome_test,1,python_opaque,"Given a list, determine whether its values read the same forward and backward.","def zav0(mip0):
    tuk0 = 0
    qel0 = len(mip0) - 1
    while tuk0 < qel0:
        if mip0[tuk0] != mip0[qel0]:
            return False
        tuk0 += 1
        qel0 -= 1
    return True","def list_palindrome(values):
    left = 0
    right = len(values) - 1
    while left < right:
        if values[left] != values[right]:
            return False
        left += 1
        right -= 1
    return True","{""list_palindrome"": ""zav0"", ""values"": ""mip0"", ""left"": ""tuk0"", ""right"": ""qel0""}",9,pending_human_review
list_palindrome,palindrome_test,2,nl_exp7_anchor,"Given a list, determine whether its values read the same forward and backward.",Set one index at the beginning and another at the end. Compare the two values and move both indices inward. Output false on a mismatch; output true if all mirrored pairs match.,"def list_palindrome(current):
    item = 0
    value = len(current) - 1
    while item < value:
        if current[item] != current[value]:
            return False
        item += 1
        value -= 1
    return True",null,0,pending_human_review
list_palindrome,palindrome_test,2,procedural_prose,"Given a list, determine whether its values read the same forward and backward.","Define a procedure named list_palindrome that receives current.
Set item to 0.
Set value to (len(current) - 1).
While item is less than value, do the following.
    If current[item] does not equal current[value], do the following.
        Return false.
    Increase item by 1.
    Decrease value by 1.
Return true.","def list_palindrome(current):
    item = 0
    value = len(current) - 1
    while item < value:
        if current[item] != current[value]:
            return False
        item += 1
        value -= 1
    return True",null,9,pending_human_review
list_palindrome,palindrome_test,2,controlled_nl,"Given a list, determine whether its values read the same forward and backward.","PROCEDURE list_palindrome INPUT current:
SET item TO 0.
SET value TO (len(current) - 1).
WHILE item < value:
    IF current[item] != current[value]:
        RETURN FALSE
    UPDATE item USING + 1.
    UPDATE value USING - 1.
RETURN TRUE","def list_palindrome(current):
    item = 0
    value = len(current) - 1
    while item < value:
        if current[item] != current[value]:
            return False
        item += 1
        value -= 1
    return True",null,9,pending_human_review
