trajectory_id,task_id,family,representation,variant,task_text,reference_solution,base_token_count,token_count,analysis_token_count,special_token_events,special_token_fraction,trajectory_valid,mean_entropy_top20,median_entropy_top20,std_entropy_top20,cumulative_entropy_top20,mean_entropy_full,median_entropy_full,std_entropy_full,cumulative_entropy_full,mean_p1,median_p1,mean_top20_mass,fraction_p1_ge_090,fraction_p1_ge_099,longest_run_p1_ge_090,longest_run_p1_ge_099,mean_abs_entropy_change_top20,mean_abs_entropy_change_full,reference_in_top20_fraction,mean_reference_surprisal
flatten_lists__nl__v1,flatten_lists,flatten_one_level,nl,1,"Given a list of lists, flatten exactly one level into a single list.","Create an empty result list. Examine each inner list in order, then append each of its values to the result. Return the result.",19,28,27,0,0.0,True,0.3480916659108415,0.1691179871559143,0.44970072833882035,9.39847497959272,0.35068310521967727,0.2012099325656891,0.4515853217533868,9.468443840931286,0.8727548972324088,0.9737661480903625,0.9997790809030886,0.7407407407407407,0.37037037037037035,5,3,0.5473770096499581,0.5496234885638562,0.9629629629629629,3.150045380418979
frequency_map_items__nl__v2,frequency_map_items,frequency_map,nl,2,"Given a list of hashable values, build a dictionary mapping each value to its occurrence count.","Begin with an empty dictionary. Inspect each value. If it is already a key, increase its count; otherwise build the key with count one. Output the dictionary.",23,34,33,0,0.0,True,0.5621264402500608,0.47322583198547363,0.4717243195752233,18.550172528252006,0.5913772316945886,0.4779853820800781,0.5587529113097417,19.515448645921424,0.7928769389788309,0.8741685748100281,0.9956640221855857,0.3939393939393939,0.18181818181818182,3,2,0.5398027036571875,0.5921638469881145,0.9090909090909091,2.702929270130522
string_palindrome__python__v2,string_palindrome,palindrome_test,python,2,"Given a string, determine whether it reads the same forward and backward.","def string_palindrome(current):
    item = 0
    value = len(current) - 1
    while item < value:
        if current[item] != current[value]:
            return False
        item += 1
        value -= 1
    return True",18,56,55,0,0.0,True,0.18268075043210544,0.012042732909321785,0.4366795697911781,10.047441273765799,0.19827732818018623,0.012089787051081657,0.5039452224246671,10.905253049910243,0.9419789140874689,0.9984820485115051,0.9975587053732439,0.8545454545454545,0.6909090909090909,36,16,0.3194975618243242,0.35075381047621096,0.9454545454545454,1.3032741460457622
contains_target__python__v1,contains_target,membership_test,python,1,"Given a list of values and a target, determine whether the target occurs in the list.","def contains_target(values, target):
    for value in values:
        if value == target:
            return True
    return False",22,26,25,0,0.0,True,0.2190708554259072,0.0008995782700367272,0.45842902943023817,5.47677138564768,0.2219232299446412,0.0009109108941629529,0.4637488884906911,5.54808074861603,0.9195701599121093,0.9999184608459473,0.9997195839881897,0.84,0.8,16,16,0.20989061693622565,0.21299241023268678,1.0,0.4485478325062101
matrix_find_position__nl__v3,matrix_find_position,matrix_search,nl,3,"Given a matrix and a target value, return the row and column of the first occurrence in row-major order, or minus one for both if absent.","Scan rows from top to bottom and columns from left to right. Whenever a value equals the target, return its row and column indices. If no match exists, return minus one for both indices.",34,39,38,0,0.0,True,0.5338052535631792,0.3303046375513077,0.5445002049181923,20.28459963540081,0.5438490640245666,0.3307783156633377,0.556671408884489,20.66626443293353,0.8201712887538107,0.9176542460918427,0.9989935143997795,0.5526315789473685,0.2631578947368421,4,3,0.477724770752625,0.4824652174995847,0.9736842105263158,1.3943412960819794
chunks_fixed_size__python__v2,chunks_fixed_size,chunking,python,2,"Given a list and a positive chunk size, split the list into consecutive chunks of at most that size.","def chunks_fixed_size(output, value):
    item = []
    for current in range(0, len(output), value):
        item.append(output[current:current + value])
    return item",25,38,37,0,0.0,True,0.33280017296744296,0.08624553680419922,0.45781229515751376,12.31360639979539,0.3398206544775717,0.0870540514588356,0.4690027737962249,12.573364215670153,0.8843312658168174,0.9873391389846802,0.9992758808909236,0.7027027027027027,0.4594594594594595,8,5,0.4377641057241514,0.44802971940953285,0.8918918918918919,2.371425862850899
is_strictly_increasing__nl__v2,is_strictly_increasing,monotonicity,nl,2,"Given a list of numbers, determine whether it is strictly increasing.","Inspect each adjacent pair from left to right. If an earlier value is greater than or equal to the following value, output false. Output true if every pair increases.",17,33,32,0,0.0,True,0.41130424667289844,0.3581988662481308,0.399661655541732,13.16173589353275,0.4155087976230334,0.3616553992033005,0.4038897570702631,13.296281523937068,0.8476790487766266,0.9173803627490997,0.9996560718864202,0.5625,0.25,8,2,0.4324068495949295,0.4354788656707951,0.96875,2.8461904134006204
transpose_matrix__nl__v1,transpose_matrix,matrix_transform,nl,1,"Given a non-empty rectangular matrix, return its transpose.","Create an empty result. For every column index, build a new row by taking that column value from each original row. Append each new row and return the result.",15,33,32,0,0.0,True,0.7196482349318103,0.7052902579307556,0.5522875484622627,23.02874351781793,0.7569949272365193,0.7100607752799988,0.6124982050387489,24.223837671568617,0.7518793139606714,0.812711775302887,0.9952756743878126,0.375,0.0625,2,1,0.5554757119877444,0.6143579743952761,0.96875,2.682675605095028
chunks_pairs__nl__v2,chunks_pairs,chunking,nl,2,"Given a list, split it into consecutive chunks containing at most two elements.",Build an empty result list. Move a starting index through the input two positions at a time. Add the slice containing that position and the next one if present. Output the result.,19,36,35,0,0.0,True,0.8058296286085221,0.7430647611618042,0.6332145665885145,28.204037001298275,0.860976887065252,0.7812763452529907,0.7193801842711344,30.13419104728382,0.7438930694546019,0.788902223110199,0.9925420999526977,0.4,0.08571428571428572,3,2,0.669013306940221,0.729391973472529,0.9142857142857143,2.960585243939048
count_primes_up_to__nl__v1,count_primes_up_to,primality,nl,1,"Given a nonnegative integer n, count how many prime numbers are at most n.","Start a prime counter at zero. For every candidate from two through n, test divisors up to its square root. Increase the counter when no divisor is found. Return the counter.",21,37,36,0,0.0,True,0.6329433786320604,0.5670029819011688,0.552287419273418,22.785961630754173,0.6888505092227004,0.6013858318328857,0.63840363063935,24.798618332017213,0.7907135200997194,0.8823905885219574,0.9933386511272855,0.3888888888888889,0.16666666666666666,4,1,0.5541892305548702,0.6338707438270961,0.8888888888888888,2.8812261889041917
selection_sort_descending__python__v3,selection_sort_descending,selection_sort,python,3,"Given a list of numbers, sort it in descending order using selection sort and return the sorted copy.","def selection_sort_descending(n_count):
    result = n_count[:]
    for x in range(len(result)):
        element = x
        for entry in range(x + 1, len(result)):
            if result[entry] > result[element]:
                element = entry
        result[x], result[element] = result[element], result[x]
    return result",24,72,71,0,0.0,True,0.16096186308225657,0.012059113010764122,0.3442695913883129,11.428292278840217,0.16509833152968723,0.012263361364603043,0.35413571837449104,11.721981538607793,0.9508717227989519,0.9984227418899536,0.9995954280168238,0.8732394366197183,0.704225352112676,28,15,0.18022201592478138,0.18610319692351304,0.9436619718309859,1.199093618447511
count_vowels__python__v3,count_vowels,char_count,python,3,"Given a lowercase string, count how many characters are vowels.","def count_vowels(x):
    entry = 0
    for element in x:
        if element in ""aeiou"":
            entry += 1
    return entry",16,36,35,0,0.0,True,0.2252566990302252,0.03607925400137901,0.42834646359864575,7.883984466057882,0.2328159842636004,0.037004441022872925,0.4415920305326827,8.148559449226013,0.9260061638695853,0.9951124787330627,0.9992561374391828,0.8285714285714286,0.6571428571428571,7,6,0.37438274377778086,0.38355921258249404,0.9428571428571428,1.334977842921106
is_subset__nl__v1,is_subset,set_relation,nl,1,"Given two collections, determine whether every value in the first collection occurs in the second.","Examine each value in the first collection. If any value is absent from the second collection, return false. Return true if every value is present.",21,30,29,0,0.0,True,0.42302055571003466,0.43438637256622314,0.38054072629783114,12.267596115591004,0.4268437887036145,0.4362085461616516,0.385147405585453,12.378469872404821,0.831127071175082,0.870450496673584,0.9996780938115614,0.4827586206896552,0.3448275862068966,4,3,0.3669328237717439,0.36831419608123334,1.0,1.4007128789654133
partition_by_sign__python__v1,partition_by_sign,partition,python,1,"Given a list of numbers, return two lists: negative values first and nonnegative values second, preserving input order within each group.","def partition_by_sign(values):
    negative = []
    nonnegative = []
    for value in values:
        if value < 0:
            negative.append(value)
        else:
            nonnegative.append(value)
    return negative, nonnegative",30,48,47,0,0.0,True,0.15766480262522856,0.003911860287189484,0.36093478018188185,7.410245723385742,0.1627532433099071,0.004137542564421892,0.37880482983794606,7.649402435565634,0.944913238286972,0.9996337890625,0.999404842549182,0.851063829787234,0.7872340425531915,26,26,0.17782234827182433,0.18247063870850866,0.9787234042553191,0.6797566133018867
count_above__nl__v1,count_above,threshold_count,nl,1,"Given a list of numbers and a threshold, count the values greater than the threshold.","Start a counter at zero. Examine every value. Whenever the current value is greater than the threshold, increase the counter by one. Return the counter.",21,31,30,0,0.0,True,0.3454877257415016,0.18698806315660477,0.4593749906543972,10.364631772245048,0.35085684017831226,0.1876940354704857,0.4731739136413605,10.525705205349368,0.8725970456997554,0.9654921591281891,0.9994551579157511,0.6666666666666666,0.4,9,4,0.4334337552146312,0.44248580447988234,0.9666666666666667,2.167344652404275
adjacent_sums__nl__v2,adjacent_sums,adjacent_transform,nl,2,"Given a list of numbers, create a list containing the sum of each adjacent pair.","Build an empty result list. Starting with the second input value, add it to the preceding value and add the sum. Output the result.",21,28,27,0,0.0,True,0.5877515280671004,0.38779228925704956,0.5053940423530255,15.86929125781171,0.6087462698040461,0.388660728931427,0.5456022899125534,16.436149284709245,0.7858362407596023,0.8938618898391724,0.9974244546007227,0.48148148148148145,0.18518518518518517,4,2,0.6052223652637062,0.6341646548288946,0.9629629629629629,3.5493951284575074
count_primes_up_to__python__v2,count_primes_up_to,primality,python,2,"Given a nonnegative integer n, count how many prime numbers are at most n.","def count_primes_up_to(output):
    value = 0
    for item in range(2, output + 1):
        counter = True
        current = 2
        while current * current <= item:
            if item % current == 0:
                counter = False
                break
            current += 1
        if counter:
            value += 1
    return value",21,82,81,0,0.0,True,0.19542070355132243,0.03452141582965851,0.3870696423388563,15.829076987657118,0.2073460986783787,0.0356597974896431,0.41793913249894804,16.795033992948674,0.9389530155393813,0.9954528212547302,0.9987617583922398,0.8395061728395061,0.654320987654321,30,17,0.3059045929473882,0.3236043886180539,0.9259259259259259,1.304242093993505
first_even_index__nl__v3,first_even_index,first_match_index,nl,3,"Given a list of integers, return the index of the first even value, or minus one if none exists.","Process the list from the beginning while tracking the current index. Whenever an even value is encountered, return its index. If the end is reached with no match, return minus one.",26,36,35,0,0.0,True,0.4663640689770026,0.32434195280075073,0.46229340913648675,16.32274241419509,0.47583306711167095,0.32754865288734436,0.4726400168188844,16.654157348908484,0.8406637617519923,0.914773166179657,0.9991409148488726,0.5428571428571428,0.2857142857142857,7,2,0.48783338220570893,0.49266168184797554,0.9714285714285714,1.989041254964624
chunks_pairs__nl__v3,chunks_pairs,chunking,nl,3,"Given a list, split it into consecutive chunks containing at most two elements.",Initialize an empty result list. Move a starting index through the input two positions at a time. Place the slice containing that position and the next one if present. Produce the result.,19,36,35,0,0.0,True,0.8141159449920191,0.9293473362922668,0.6535014263567452,28.49405807472067,0.8819284849425978,0.9485381841659546,0.7512212733924525,30.86749697299092,0.7200489831822259,0.718870222568512,0.9910899179322379,0.37142857142857144,0.14285714285714285,3,2,0.623678267971092,0.6928216997920946,0.8857142857142857,3.4867752791930666
first_negative_index__python__v1,first_negative_index,first_match_index,python,1,"Given a list of numbers, return the index of the first negative value, or minus one if none exists.","def first_negative_index(values):
    for index, value in enumerate(values):
        if value < 0:
            return index
    return -1",26,30,29,0,0.0,True,0.15655667953774355,0.0016218473901972175,0.3507482062339018,4.540143706594563,0.15730228631875812,0.0016395655693486333,0.35219936462164686,4.561766303243985,0.9404974292064535,0.9998411536216736,0.9999421362219185,0.896551724137931,0.7241379310344828,22,19,0.19319940526025903,0.19407297390858144,1.0,0.5321518869489769
ordered_intersection__nl__v2,ordered_intersection,ordered_intersection,nl,2,"Given two lists, return values from the first list that also occur in the second list, preserving duplicates and order from the first list.","Build an empty result. Inspect each value in the first list. If that value occurs in the second list, add it to the result. Output the result.",31,33,32,0,0.0,True,0.440211524728511,0.168268084526062,0.5599788966007231,14.086768791312352,0.4791585384773498,0.16932817921042442,0.6521507302054294,15.333073231275193,0.8574768020771444,0.9632625877857208,0.9944686889648438,0.5625,0.40625,5,4,0.574011078389782,0.6458658368792385,0.9375,1.628191115993559
is_prime__python__v3,is_prime,primality,python,3,"Given an integer n, determine whether it is prime.","def is_prime(entry):
    if entry < 2:
        return False
    element = 2
    while element * element <= entry:
        if entry % element == 0:
            return False
        element += 1
    return True",15,52,51,0,0.0,True,0.04732718252596575,0.0029795924201607704,0.13875456225468863,2.4136863088242535,0.047854636631967096,0.0029810755513608456,0.13918049747282704,2.4405864682303218,0.9851530977323943,0.9996960759162903,0.999962844100653,0.9411764705882353,0.9019607843137255,34,26,0.08669865280986415,0.0870845471553912,0.9607843137254902,0.972216191449467
binary_to_integer__python__v3,binary_to_integer,base_conversion,python,3,"Given a string of binary digits, convert it to a nonnegative integer.","def binary_to_integer(x):
    entry = 0
    for element in x:
        entry = entry * 2 + int(element)
    return entry",19,32,31,0,0.0,True,0.25922909292632773,0.018819844350218773,0.43189556185652195,8.03610188071616,0.2623003542751488,0.018835706636309624,0.43621524051192745,8.131310982529612,0.9075630759039233,0.9975466132164001,0.9997303485870361,0.7096774193548387,0.6774193548387096,10,10,0.35249187736772003,0.3549939822937934,0.9354838709677419,1.4774965883900273
group_by_first_character__python__v3,group_by_first_character,grouping,python,3,"Given a list of non-empty strings, build a dictionary grouping strings by their first character while preserving input order inside each group.","def group_by_first_character(result):
    element = {}
    for x in result:
        entry = x[0]
        if entry not in element:
            element[entry] = []
        element[entry].append(x)
    return element",29,49,48,0,0.0,True,0.2429668119970453,0.02164808101952076,0.46503522726801266,11.662406975858175,0.25327665028629553,0.02276144176721573,0.4880972825007213,12.157279213742186,0.9213830872128407,0.9972046911716461,0.9988844891389211,0.8333333333333334,0.5833333333333334,18,9,0.42881951674474084,0.4456564797420334,0.9375,1.5055048069877632
rotate_right_one__python__v3,rotate_right_one,rotation,python,3,"Given a non-empty list, rotate it right by one position.","def rotate_right_one(x):
    element = [x[-1]]
    for entry in x[:-1]:
        element.append(entry)
    return element",17,30,29,0,0.0,True,0.2665243715571956,0.027706457301974297,0.4530581991558556,7.729206775158673,0.27341308001682746,0.027860695496201515,0.4680641643364609,7.928979320487997,0.9098123918319571,0.9965468049049377,0.9992850936692337,0.7931034482758621,0.6206896551724138,14,10,0.30679854309372395,0.3144439665208795,0.896551724137931,1.9274085520200344
first_negative_index__nl__v2,first_negative_index,first_match_index,nl,2,"Given a list of numbers, return the index of the first negative value, or minus one if none exists.","Inspect the list from the beginning while tracking the current index. If a negative value is encountered, output its index. When the end is reached with no match, output minus one.",26,36,35,0,0.0,True,0.6094609110083963,0.5330420136451721,0.5550731328626924,21.33113188529387,0.6322707517471696,0.5366740226745605,0.5909849412058126,22.12947631115094,0.8003729590347834,0.8406097888946533,0.9975014226777213,0.45714285714285713,0.17142857142857143,8,1,0.6118227360386621,0.6433711155755993,0.9428571428571428,2.0761047721557717
merge_sorted_descending__nl__v3,merge_sorted_descending,merge_sorted,nl,3,"Given two lists sorted in descending order, merge them into one descending list.",Initialize an empty result and place one index at the start of each list. Repeatedly append the larger current value and advance its index. Place any remaining values and return the result.,19,37,36,0,0.0,True,0.6557418151529014,0.5245115756988525,0.5293868511281151,23.60670534550445,0.704855151230327,0.5285761654376984,0.6189590764159701,25.374785444291774,0.7739622493584951,0.8643921911716461,0.993953577346272,0.3611111111111111,0.16666666666666666,3,2,0.6665286836713287,0.758142269372807,0.8888888888888888,3.0453973559839747
selection_sort_ascending__python__v1,selection_sort_ascending,selection_sort,python,1,"Given a list of numbers, sort it in ascending order using selection sort and return the sorted copy.","def selection_sort_ascending(values):
    result = values[:]
    for index in range(len(result)):
        best = index
        for candidate in range(index + 1, len(result)):
            if result[candidate] < result[best]:
                best = candidate
        result[index], result[best] = result[best], result[index]
    return result",24,73,72,0,0.0,True,0.07446697934166835,0.0019978523487225175,0.17931882996946874,5.361622512600121,0.07498236745830253,0.0020067719742655754,0.18028796208820852,5.398730456997782,0.9785187509324815,0.9998102784156799,0.9999598388870558,0.9166666666666666,0.8194444444444444,41,23,0.11741986366271777,0.1182213675042412,0.9444444444444444,1.114972184555909
group_by_first_character__nl__v3,group_by_first_character,grouping,nl,3,"Given a list of non-empty strings, build a dictionary grouping strings by their first character while preserving input order inside each group.","Initialize with an empty dictionary. Process each string, use its first character as the key, create an empty list for a new key, and append the string to that key's list. Produce the dictionary.",29,41,40,0,0.0,True,0.6720720037294086,0.5315781235694885,0.6393155816582622,26.882880149176344,0.715283152012853,0.5438790321350098,0.7426288764189233,28.611326080514118,0.7637909624725581,0.8469908535480499,0.9930150419473648,0.45,0.175,4,2,0.6118110742730399,0.6825635140546813,0.975,2.0543714345722037
running_product__python__v1,running_product,cumulative_scan,python,1,"Given a list of numbers, produce the running product after each position.","def running_product(values):
    product = 1
    result = []
    for value in values:
        product *= value
        result.append(product)
    return result",18,34,33,0,0.0,True,0.1672630546964876,0.004004239104688168,0.41014399926076456,5.519680804984091,0.16831016064980125,0.004111801739782095,0.4126000217106481,5.554235301443441,0.9360521137714386,0.9996004104614258,0.9999066844131007,0.8484848484848485,0.8484848484848485,16,16,0.3236351291068331,0.3256074124721522,1.0,0.4167663120179503
anti_diagonal_sum__python__v1,anti_diagonal_sum,diagonal_aggregate,python,1,"Given a square matrix, calculate the sum of its anti-diagonal.","def anti_diagonal_sum(matrix):
    total = 0
    size = len(matrix)
    for row in range(size):
        total += matrix[row][size - 1 - row]
    return total",18,42,41,0,0.0,True,0.14291240917563988,0.009734793566167355,0.30712775936553705,5.859408776201235,0.14367960421228285,0.009883910417556763,0.30869558545465114,5.890863772703597,0.9457840541513954,0.9987714886665344,0.9999401714743638,0.8292682926829268,0.7560975609756098,7,7,0.27333307632152354,0.2747451047105642,1.0,0.5248796301805131
chunks_pairs__python__v1,chunks_pairs,chunking,python,1,"Given a list, split it into consecutive chunks containing at most two elements.","def chunks_pairs(values):
    result = []
    for start in range(0, len(values), 2):
        result.append(values[start:start + 2])
    return result",19,36,35,0,0.0,True,0.15564658672870532,0.003185666399076581,0.3625497740176852,5.447630535504686,0.1578778896685175,0.0032548801973462105,0.3685087857304264,5.525726138398113,0.9400646039417812,0.999691903591156,0.9997900656291416,0.8857142857142857,0.7142857142857143,25,11,0.23769589836170138,0.2408027543320339,0.9428571428571428,1.6187020914153363
matrix_find_position__python__v3,matrix_find_position,matrix_search,python,3,"Given a matrix and a target value, return the row and column of the first occurrence in row-major order, or minus one for both if absent.","def matrix_find_position(entry, result):
    for x in range(len(entry)):
        for element in range(len(entry[x])):
            if entry[x][element] == result:
                return x, element
    return -1, -1",34,48,47,0,0.0,True,0.19003778048592837,0.022966057062149048,0.34342382524617443,8.931775682838634,0.19647905908099578,0.024394018575549126,0.3544253581186703,9.234515776806802,0.929029070950569,0.996789813041687,0.9994239680310513,0.8297872340425532,0.7021276595744681,22,18,0.2120096112804553,0.2148378387488344,0.9148936170212766,1.9583191756006475
list_divisors__python__v3,list_divisors,divisors,python,3,"Given a positive integer n, return all positive divisors of n in increasing order.","def list_divisors(entry):
    x = []
    for element in range(1, entry + 1):
        if entry % element == 0:
            x.append(element)
    return x",21,40,39,0,0.0,True,0.10210940789856511,0.00911256205290556,0.19724294708419685,3.982266908044039,0.10316276596607238,0.009173035621643066,0.1986564708295459,4.023347872676823,0.9707467754681905,0.9989078640937805,0.9999203574963105,0.9230769230769231,0.7948717948717948,20,19,0.1417527526532228,0.14257250415175804,0.9230769230769231,1.6139040022708941
insertion_sort_ascending__nl__v2,insertion_sort_ascending,insertion_sort,nl,2,"Given a list of numbers, sort it in ascending order using insertion sort and return the sorted copy.","Copy the list. Starting with the second element, shift larger earlier values one position right until the current value can be inserted in order. Output the copy.",24,31,30,0,0.0,True,0.5434554711760332,0.44374880194664,0.474111541860538,16.303664135280997,0.5643884657106052,0.4467135965824127,0.5009276109339909,16.931653971318156,0.8364336301883062,0.8961364328861237,0.9977103173732758,0.5,0.2,5,2,0.5177785092001331,0.5518626640069073,0.8666666666666667,3.872738042851173
scan_min__python__v1,scan_min,scan_extremum,python,1,"Given a non-empty list of numbers, find the smallest value by scanning the list once.","def scan_min(values):
    best = values[0]
    for value in values[1:]:
        if value < best:
            best = value
    return best",22,34,33,0,0.0,True,0.1871920946728785,0.0040909405797719955,0.46664423266113836,6.177339124204991,0.19890294445664922,0.004162850324064493,0.5042526303931332,6.563797167069424,0.9378002918127811,0.9995971322059631,0.9985234123287778,0.8484848484848485,0.7878787878787878,16,16,0.3164674163288623,0.3387644140645989,0.9393939393939394,1.1629663501272938
